AromaSense Herbal Analysis Data
Sample Name,jahe
Herbal Type,jahe
Export Date,2025-11-28T16:04:32.320302
Analysis Mode,Auto FSM
Total Data Points,7301
Final Duration,1825.00 s

Time (s),NO2 Sensor,Ethanol Sensor,VOC Sensor,CO Sensor,MiCS CO,MiCS Ethanol,MiCS VOC
0.000,0.97,0.86,0.41,0.05,2.44,1.58,0.69
0.250,0.97,0.86,0.41,0.05,2.44,1.58,0.69
0.500,0.97,0.86,0.41,0.05,2.44,1.58,0.69
0.750,0.97,0.86,0.41,0.05,2.44,1.58,0.69
1.000,0.97,0.86,0.41,0.05,2.44,1.58,0.69
1.250,0.97,0.86,0.41,0.05,2.44,1.58,0.69
1.500,0.97,0.86,0.41,0.05,2.44,1.58,0.69
1.750,0.97,0.86,0.41,0.05,2.44,1.58,0.69
2.000,0.97,0.86,0.41,0.05,2.44,1.58,0.69
2.250,0.97,0.86,0.41,0.05,2.44,1.58,0.69
2.500,0.97,0.86,0.41,0.05,2.44,1.58,0.69
2.750,0.97,0.86,0.41,0.05,2.44,1.58,0.69
3.000,0.97,0.86,0.41,0.05,2.44,1.58,0.69
3.250,0.97,0.86,0.41,0.05,2.44,1.58,0.69
3.500,0.97,0.86,0.41,0.05,2.44,1.58,0.69
3.750,0.97,0.86,0.41,0.05,2.44,1.58,0.69
4.000,0.97,0.86,0.41,0.05,2.51,1.64,0.71
4.250,0.97,0.86,0.41,0.05,2.51,1.64,0.71
4.500,0.97,0.86,0.41,0.05,2.44,1.58,0.69
4.750,0.97,0.86,0.41,0.05,2.44,1.58,0.69
5.000,0.98,0.86,0.41,0.05,2.51,1.64,0.71
5.250,0.97,0.86,0.42,0.05,2.44,1.58,0.69
5.500,0.97,0.86,0.42,0.05,2.51,1.64,0.71
5.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
6.000,0.97,0.86,0.42,0.05,2.51,1.64,0.71
6.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
6.500,0.98,0.86,0.42,0.05,2.44,1.58,0.69
6.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
7.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
7.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
7.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
7.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
8.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
8.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
8.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
8.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
9.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
9.250,0.98,0.86,0.42,0.05,2.58,1.70,0.74
9.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
9.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
10.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
10.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
10.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
10.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
11.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
11.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
11.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
11.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
12.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
12.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
12.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
12.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
13.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
13.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
13.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
13.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
14.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
14.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
14.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
14.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
15.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
15.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
15.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
15.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
16.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
16.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
16.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
16.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
17.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
17.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
17.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
17.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
18.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
18.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
18.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
18.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
19.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
19.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
19.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
19.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
20.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
20.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
20.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
20.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
21.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
21.250,0.98,0.86,0.42,0.05,2.44,1.58,0.69
21.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
21.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
22.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
22.250,0.98,0.86,0.42,0.05,2.44,1.58,0.69
22.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
22.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
23.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
23.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
23.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
23.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
24.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
24.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
24.500,0.98,0.86,0.42,0.05,2.44,1.58,0.69
24.750,0.98,0.86,0.42,0.05,2.44,1.58,0.69
25.000,0.98,0.86,0.42,0.05,2.44,1.58,0.69
25.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
25.500,0.98,0.86,0.42,0.05,2.79,1.88,0.80
25.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
26.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
26.250,0.98,0.86,0.42,0.05,2.44,1.58,0.69
26.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
26.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
27.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
27.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
27.500,0.98,0.86,0.42,0.05,2.44,1.58,0.69
27.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
28.000,0.98,0.86,0.42,0.05,2.44,1.58,0.69
28.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
28.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
28.750,0.98,0.86,0.42,0.05,2.44,1.58,0.69
29.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
29.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
29.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
29.750,0.98,0.86,0.42,0.05,2.38,1.53,0.67
30.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
30.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
30.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
30.750,0.98,0.86,0.42,0.05,2.44,1.58,0.69
31.000,0.98,0.86,0.42,0.05,2.58,1.70,0.74
31.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
31.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
31.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
32.000,0.98,0.86,0.42,0.05,2.44,1.58,0.69
32.250,0.98,0.86,0.42,0.05,2.44,1.58,0.69
32.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
32.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
33.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
33.250,0.98,0.86,0.42,0.05,2.44,1.58,0.69
33.500,0.98,0.86,0.42,0.05,2.51,1.64,0.71
33.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
34.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
34.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
34.500,0.98,0.86,0.42,0.05,2.44,1.58,0.69
34.750,0.98,0.86,0.42,0.05,2.51,1.64,0.71
35.000,0.98,0.86,0.42,0.05,2.51,1.64,0.71
35.250,0.98,0.86,0.42,0.05,2.51,1.64,0.71
