AromaSense Herbal Analysis Data
Sample Name,kencur
Herbal Type,kencur
Export Date,2025-11-28T16:39:24.145054
Analysis Mode,Auto FSM
Total Data Points,7298
Final Duration,1824.25 s

Time (s),NO2 Sensor,Ethanol Sensor,VOC Sensor,CO Sensor,MiCS CO,MiCS Ethanol,MiCS VOC
0.000,0.85,0.77,0.13,0.04,1.05,0.53,0.27
0.250,0.85,0.77,0.13,0.04,1.05,0.53,0.27
0.500,0.85,0.77,0.13,0.04,1.05,0.53,0.27
0.750,0.85,0.77,0.13,0.04,1.11,0.56,0.28
1.000,0.85,0.77,0.13,0.04,1.05,0.53,0.27
1.250,0.85,0.77,0.13,0.04,1.05,0.53,0.27
1.500,0.85,0.77,0.13,0.04,1.05,0.53,0.27
1.750,0.85,0.77,0.13,0.05,1.05,0.53,0.27
2.000,0.85,0.77,0.13,0.04,1.05,0.53,0.27
2.250,0.85,0.77,0.13,0.05,1.05,0.53,0.27
2.500,0.85,0.77,0.13,0.05,1.11,0.56,0.28
2.750,0.85,0.77,0.14,0.05,1.11,0.56,0.28
3.000,0.85,0.77,0.14,0.05,1.11,0.56,0.28
3.250,0.85,0.77,0.14,0.05,1.00,0.49,0.25
3.500,0.85,0.77,0.14,0.05,1.11,0.56,0.28
3.750,0.86,0.77,0.14,0.05,1.17,0.60,0.30
4.000,0.86,0.77,0.14,0.05,1.11,0.56,0.28
4.250,0.86,0.77,0.14,0.05,1.11,0.56,0.28
4.500,0.86,0.77,0.14,0.05,1.11,0.56,0.28
4.750,0.86,0.77,0.14,0.05,1.11,0.56,0.28
5.000,0.86,0.77,0.14,0.05,1.17,0.60,0.30
5.250,0.86,0.77,0.15,0.05,1.17,0.60,0.30
5.500,0.86,0.77,0.15,0.05,1.11,0.56,0.28
5.750,0.87,0.77,0.15,0.05,1.17,0.60,0.30
6.000,0.87,0.77,0.15,0.05,1.17,0.60,0.30
6.250,0.87,0.77,0.15,0.05,1.17,0.60,0.30
6.500,0.87,0.77,0.15,0.05,1.23,0.64,0.32
6.750,0.87,0.77,0.15,0.05,1.17,0.60,0.30
7.000,0.87,0.77,0.16,0.05,1.23,0.64,0.32
7.250,0.87,0.77,0.16,0.05,1.23,0.64,0.32
7.500,0.87,0.77,0.16,0.05,1.23,0.64,0.32
7.750,0.87,0.77,0.16,0.06,1.23,0.64,0.32
8.000,0.87,0.77,0.16,0.05,1.23,0.64,0.32
8.250,0.88,0.77,0.16,0.06,1.23,0.64,0.32
8.500,0.88,0.77,0.17,0.06,1.23,0.64,0.32
8.750,0.88,0.77,0.17,0.06,1.23,0.64,0.32
9.000,0.88,0.77,0.17,0.06,1.29,0.69,0.34
9.250,0.88,0.77,0.17,0.06,1.29,0.69,0.34
9.500,0.88,0.77,0.17,0.06,1.29,0.69,0.34
9.750,0.88,0.77,0.17,0.06,1.29,0.69,0.34
10.000,0.88,0.77,0.17,0.06,1.29,0.69,0.34
10.250,0.88,0.77,0.17,0.06,1.29,0.69,0.34
10.500,0.88,0.77,0.18,0.06,1.29,0.69,0.34
10.750,0.88,0.77,0.18,0.06,1.35,0.73,0.35
11.000,0.88,0.77,0.18,0.06,1.35,0.73,0.35
11.250,0.88,0.77,0.18,0.06,1.35,0.73,0.35
11.500,0.89,0.77,0.18,0.06,1.35,0.73,0.35
11.750,0.89,0.77,0.18,0.06,1.35,0.73,0.35
12.000,0.89,0.77,0.18,0.06,1.29,0.69,0.34
12.250,0.89,0.77,0.19,0.06,1.35,0.73,0.35
12.500,0.89,0.77,0.19,0.06,1.35,0.73,0.35
12.750,0.89,0.77,0.19,0.06,1.35,0.73,0.35
13.000,0.89,0.77,0.19,0.06,1.35,0.73,0.35
13.250,0.89,0.77,0.19,0.06,1.41,0.77,0.37
13.500,0.89,0.77,0.19,0.06,1.41,0.77,0.37
13.750,0.89,0.77,0.19,0.06,1.41,0.77,0.37
14.000,0.89,0.77,0.20,0.06,1.41,0.77,0.37
14.250,0.89,0.77,0.20,0.06,1.41,0.77,0.37
14.500,0.89,0.77,0.20,0.06,1.41,0.77,0.37
14.750,0.90,0.77,0.20,0.06,1.41,0.77,0.37
15.000,0.90,0.77,0.20,0.06,1.41,0.77,0.37
15.250,0.90,0.77,0.20,0.06,1.41,0.77,0.37
15.500,0.90,0.77,0.20,0.06,1.47,0.81,0.39
15.750,0.90,0.77,0.20,0.06,1.41,0.77,0.37
16.000,0.90,0.77,0.20,0.06,1.41,0.77,0.37
16.250,0.90,0.77,0.20,0.06,1.47,0.81,0.39
16.500,0.90,0.77,0.21,0.06,1.47,0.81,0.39
16.750,0.90,0.77,0.21,0.06,1.47,0.81,0.39
17.000,0.90,0.77,0.21,0.06,1.41,0.77,0.37
17.250,0.90,0.77,0.21,0.06,1.47,0.81,0.39
17.500,0.90,0.77,0.21,0.06,1.47,0.81,0.39
17.750,0.90,0.77,0.21,0.06,1.47,0.81,0.39
18.000,0.90,0.77,0.21,0.06,1.47,0.81,0.39
18.250,0.90,0.77,0.21,0.06,1.47,0.81,0.39
18.500,0.90,0.77,0.21,0.06,1.53,0.86,0.41
18.750,0.90,0.77,0.22,0.06,1.47,0.81,0.39
19.000,0.90,0.77,0.22,0.06,1.47,0.81,0.39
19.250,0.90,0.77,0.22,0.06,1.47,0.81,0.39
19.500,0.90,0.77,0.22,0.06,1.47,0.81,0.39
19.750,0.90,0.77,0.22,0.06,1.47,0.81,0.39
20.000,0.90,0.77,0.22,0.06,1.47,0.81,0.39
20.250,0.90,0.77,0.22,0.06,1.47,0.81,0.39
20.500,0.90,0.77,0.22,0.06,1.47,0.81,0.39
20.750,0.90,0.77,0.22,0.06,1.47,0.81,0.39
21.000,0.90,0.77,0.22,0.06,1.47,0.81,0.39
21.250,0.90,0.77,0.22,0.06,1.47,0.81,0.39
21.500,0.90,0.77,0.23,0.06,1.53,0.86,0.41
21.750,0.90,0.77,0.23,0.06,1.53,0.86,0.41
22.000,0.90,0.77,0.23,0.06,1.47,0.81,0.39
22.250,0.90,0.77,0.23,0.06,1.53,0.86,0.41
22.500,0.90,0.77,0.23,0.06,1.47,0.81,0.39
22.750,0.90,0.77,0.23,0.06,1.53,0.86,0.41
23.000,0.90,0.77,0.23,0.06,1.53,0.86,0.41
23.250,0.90,0.77,0.23,0.06,1.53,0.86,0.41
23.500,0.90,0.77,0.23,0.06,1.53,0.86,0.41
23.750,0.90,0.77,0.23,0.06,1.53,0.86,0.41
24.000,0.90,0.77,0.23,0.06,1.53,0.86,0.41
24.250,0.90,0.77,0.23,0.06,1.53,0.86,0.41
24.500,0.91,0.77,0.23,0.06,1.53,0.86,0.41
24.750,0.90,0.77,0.23,0.06,1.53,0.86,0.41
25.000,0.90,0.77,0.23,0.06,1.53,0.86,0.41
25.250,0.91,0.77,0.23,0.06,1.53,0.86,0.41
25.500,0.90,0.77,0.23,0.06,1.53,0.86,0.41
25.750,0.90,0.77,0.23,0.06,1.47,0.81,0.39
26.000,0.90,0.77,0.24,0.06,1.53,0.86,0.41
26.250,0.91,0.77,0.24,0.06,1.53,0.86,0.41
26.500,0.91,0.77,0.24,0.06,1.53,0.86,0.41
26.750,0.91,0.77,0.24,0.06,1.53,0.86,0.41
27.000,0.91,0.77,0.24,0.06,1.53,0.86,0.41
27.250,0.91,0.77,0.24,0.06,1.53,0.86,0.41
27.500,0.91,0.77,0.24,0.06,1.53,0.86,0.41
27.750,0.91,0.77,0.24,0.06,1.53,0.86,0.41
28.000,0.91,0.77,0.24,0.06,1.53,0.86,0.41
28.250,0.91,0.77,0.24,0.06,1.53,0.86,0.41
28.500,0.91,0.77,0.24,0.06,1.53,0.86,0.41
28.750,0.91,0.77,0.24,0.06,1.53,0.86,0.41
29.000,0.91,0.77,0.24,0.06,1.53,0.86,0.41
29.250,0.91,0.77,0.24,0.06,1.53,0.86,0.41
29.500,0.91,0.77,0.24,0.06,1.53,0.86,0.41
29.750,0.91,0.77,0.24,0.06,1.53,0.86,0.41
30.000,0.91,0.77,0.24,0.06,1.53,0.86,0.41
30.250,0.91,0.77,0.24,0.06,1.53,0.86,0.41
30.500,0.91,0.77,0.24,0.06,1.53,0.86,0.41
30.750,0.91,0.77,0.24,0.06,1.53,0.86,0.41
31.000,0.91,0.77,0.24,0.06,1.59,0.91,0.43
