Time (s),NO2 Sensor,Ethanol Sensor,VOC Sensor,CO Sensor,MiCS CO,MiCS Ethanol,MiCS VOC
0,0.97,0.86,0.3,0.05,3.32,2.37,0.98
0.25,0.97,0.86,0.3,0.05,3.32,2.37,0.98
0.5,0.97,0.86,0.3,0.05,3.32,2.37,0.98
0.75,0.97,0.86,0.3,0.05,3.32,2.37,0.98
1,0.97,0.86,0.3,0.05,3.32,2.37,0.98
1.25,0.97,0.86,0.3,0.05,3.23,2.28,0.95
1.5,0.97,0.86,0.3,0.05,3.32,2.37,0.98
1.75,0.97,0.86,0.3,0.05,3.32,2.37,0.98
2,0.97,0.86,0.3,0.05,3.32,2.37,0.98
2.25,0.97,0.85,0.3,0.05,3.42,2.45,1.01
2.5,0.97,0.86,0.3,0.05,3.32,2.37,0.98
2.75,0.97,0.86,0.3,0.05,3.23,2.28,0.95
3,0.97,0.86,0.3,0.05,3.32,2.37,0.98
3.25,0.97,0.86,0.3,0.05,3.23,2.28,0.95
3.5,0.97,0.86,0.3,0.05,3.32,2.37,0.98
3.75,0.97,0.86,0.3,0.05,3.32,2.37,0.98
4,0.97,0.86,0.3,0.05,3.32,2.37,0.98
4.25,0.97,0.86,0.3,0.05,3.32,2.37,0.98
4.5,0.97,0.86,0.3,0.05,3.32,2.37,0.98
4.75,0.97,0.86,0.3,0.05,3.32,2.37,0.98
5,0.97,0.86,0.3,0.05,3.32,2.37,0.98
5.25,0.97,0.86,0.3,0.05,3.32,2.37,0.98
5.5,0.97,0.86,0.3,0.05,3.32,2.37,0.98
5.75,0.97,0.85,0.3,0.05,3.32,2.37,0.98
6,0.97,0.86,0.3,0.05,3.32,2.37,0.98
6.25,0.97,0.86,0.3,0.05,3.32,2.37,0.98
6.5,0.97,0.86,0.3,0.05,3.32,2.37,0.98
6.75,0.97,0.86,0.3,0.05,3.32,2.37,0.98
7,0.97,0.86,0.3,0.05,3.42,2.45,1.01
7.25,0.97,0.86,0.3,0.05,3.32,2.37,0.98
7.5,0.97,0.86,0.3,0.05,3.32,2.37,0.98
7.75,0.97,0.86,0.3,0.05,3.32,2.37,0.98
8,0.97,0.86,0.3,0.05,3.42,2.45,1.01
8.25,0.97,0.86,0.3,0.05,3.32,2.37,0.98
8.5,0.97,0.86,0.3,0.05,3.61,2.63,1.07
8.75,0.97,0.86,0.3,0.05,3.32,2.37,0.98
9,0.97,0.86,0.3,0.05,3.23,2.28,0.95
9.25,0.97,0.86,0.3,0.05,3.32,2.37,0.98
9.5,0.97,0.86,0.3,0.05,3.32,2.37,0.98
9.75,0.97,0.86,0.3,0.05,3.32,2.37,0.98
10,0.97,0.86,0.3,0.05,3.32,2.37,0.98
10.25,0.97,0.86,0.3,0.05,3.32,2.37,0.98
10.5,0.97,0.86,0.3,0.05,3.32,2.37,0.98
10.75,0.97,0.86,0.3,0.05,3.32,2.37,0.98
11,0.97,0.86,0.3,0.05,3.32,2.37,0.98
11.25,0.97,0.86,0.3,0.05,3.32,2.37,0.98
11.5,0.97,0.86,0.3,0.05,3.32,2.37,0.98
11.75,0.97,0.86,0.3,0.05,3.32,2.37,0.98
12,0.97,0.86,0.3,0.05,3.32,2.37,0.98
12.25,0.97,0.86,0.3,0.05,3.32,2.37,0.98
12.5,0.97,0.86,0.3,0.05,3.32,2.37,0.98
12.75,0.97,0.86,0.3,0.05,3.32,2.37,0.98
13,0.97,0.86,0.3,0.05,3.32,2.37,0.98
13.25,0.97,0.86,0.3,0.05,3.32,2.37,0.98
13.5,0.97,0.86,0.3,0.05,3.32,2.37,0.98
13.75,0.97,0.86,0.3,0.05,3.32,2.37,0.98
14,0.97,0.86,0.3,0.05,3.32,2.37,0.98
14.25,0.97,0.86,0.3,0.05,3.32,2.37,0.98
14.5,0.97,0.86,0.3,0.05,3.32,2.37,0.98
14.75,0.97,0.86,0.3,0.05,3.32,2.37,0.98
15,0.97,0.86,0.3,0.05,3.32,2.37,0.98
15.25,0.97,0.86,0.3,0.05,3.32,2.37,0.98
15.5,0.97,0.86,0.3,0.05,3.32,2.37,0.98
15.75,0.97,0.86,0.3,0.05,3.32,2.37,0.98
16,0.97,0.86,0.3,0.05,3.32,2.37,0.98
16.25,0.97,0.86,0.3,0.05,3.32,2.37,0.98
16.5,0.97,0.86,0.3,0.05,3.32,2.37,0.98
16.75,0.97,0.86,0.3,0.05,3.32,2.37,0.98
17,0.97,0.86,0.3,0.05,3.32,2.37,0.98
17.25,0.97,0.86,0.3,0.05,3.32,2.37,0.98
17.5,0.97,0.86,0.3,0.05,3.04,2.11,0.89
17.75,0.97,0.86,0.3,0.05,3.23,2.28,0.95
18,0.97,0.86,0.3,0.05,3.32,2.37,0.98
18.25,0.97,0.86,0.3,0.05,3.32,2.37,0.98
18.5,0.97,0.86,0.3,0.05,3.51,2.54,1.04
18.75,0.97,0.86,0.3,0.05,3.32,2.37,0.98
19,0.97,0.86,0.3,0.05,3.23,2.28,0.95
19.25,0.97,0.86,0.3,0.05,3.32,2.37,0.98
19.5,0.97,0.86,0.3,0.05,3.32,2.37,0.98
19.75,0.97,0.86,0.3,0.05,3.23,2.28,0.95
20,0.97,0.86,0.3,0.05,3.32,2.37,0.98
20.25,0.97,0.86,0.3,0.05,3.32,2.37,0.98
20.5,0.97,0.86,0.3,0.05,3.23,2.28,0.95
20.75,0.97,0.86,0.3,0.05,3.23,2.28,0.95
21,0.97,0.86,0.3,0.05,3.23,2.28,0.95
21.25,0.97,0.86,0.3,0.05,3.23,2.28,0.95
