AromaSense Herbal Analysis Data
Sample Name,lengkuas
Herbal Type,lengkuas
Export Date,2025-11-28T17:12:34.789826
Analysis Mode,Auto FSM
Total Data Points,7239
Final Duration,1809.50 s

Time (s),NO2 Sensor,Ethanol Sensor,VOC Sensor,CO Sensor,MiCS CO,MiCS Ethanol,MiCS VOC
0.000,0.83,0.72,0.12,0.04,0.88,0.42,0.22
0.250,0.83,0.72,0.12,0.04,0.88,0.42,0.22
0.500,0.83,0.72,0.12,0.04,0.88,0.42,0.22
0.750,0.83,0.72,0.12,0.04,0.88,0.42,0.22
1.000,0.83,0.72,0.12,0.04,0.88,0.42,0.22
1.250,0.83,0.72,0.12,0.04,0.88,0.42,0.22
1.500,0.83,0.72,0.12,0.04,0.88,0.42,0.22
1.750,0.83,0.72,0.12,0.05,0.88,0.42,0.22
2.000,0.83,0.72,0.12,0.05,0.94,0.45,0.23
2.250,0.83,0.72,0.12,0.05,0.88,0.42,0.22
2.500,0.83,0.72,0.12,0.05,0.94,0.45,0.23
2.750,0.83,0.72,0.12,0.05,0.94,0.45,0.23
3.000,0.83,0.72,0.12,0.05,0.94,0.45,0.23
3.250,0.83,0.72,0.12,0.05,0.94,0.45,0.23
3.500,0.84,0.72,0.12,0.05,0.94,0.45,0.23
3.750,0.84,0.72,0.12,0.05,0.94,0.45,0.23
4.000,0.84,0.72,0.12,0.05,0.94,0.45,0.23
4.250,0.84,0.72,0.12,0.05,0.94,0.45,0.23
4.500,0.84,0.72,0.12,0.06,0.83,0.39,0.20
4.750,0.84,0.72,0.13,0.06,0.94,0.45,0.23
5.000,0.84,0.72,0.13,0.06,1.00,0.49,0.25
5.250,0.84,0.72,0.13,0.06,0.94,0.45,0.23
5.500,0.85,0.72,0.13,0.06,0.94,0.45,0.23
5.750,0.85,0.72,0.13,0.06,0.94,0.45,0.23
6.000,0.85,0.72,0.13,0.06,1.00,0.49,0.25
6.250,0.85,0.72,0.14,0.06,1.11,0.56,0.28
6.500,0.85,0.72,0.14,0.06,1.23,0.64,0.32
6.750,0.85,0.72,0.14,0.06,0.94,0.45,0.23
7.000,0.85,0.72,0.14,0.06,0.94,0.45,0.23
7.250,0.86,0.72,0.14,0.06,1.00,0.49,0.25
7.500,0.86,0.72,0.14,0.06,1.00,0.49,0.25
7.750,0.86,0.72,0.14,0.06,1.00,0.49,0.25
8.000,0.86,0.72,0.14,0.06,0.94,0.45,0.23
8.250,0.86,0.72,0.15,0.07,1.00,0.49,0.25
8.500,0.86,0.72,0.15,0.07,1.00,0.49,0.25
8.750,0.86,0.72,0.15,0.07,1.00,0.49,0.25
9.000,0.86,0.72,0.15,0.07,1.05,0.53,0.27
9.250,0.86,0.72,0.15,0.07,1.00,0.49,0.25
9.500,0.86,0.72,0.15,0.07,1.11,0.56,0.28
